# Human triage verdicts for the 209 emergent depth-4 isolation leaks (the residue the join contract cannot reach).
# Each line: <verbatim isolation-leak-snapshot.txt signature> => <verdict>. Collected from site/check.html's depth-4 triage UI.
# Verdicts: "in context is outright broken" (actionable backlog) | "...just better..." / "...OK, but halves..." / custom ("both fine") = accept.
# See doc/history/2026-06-03--leak-cleanup/leak-triage.md and doc/history/2026-06-03--leak-cleanup/leak-prevention-plan.md.
Ah Ye Thaw Ing [break 1] :: *L qsYe.en-y5.ex-y0->qsYe |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
Ah Ye Ing Thaw [break 1] :: *L qsYe.en-y5.ex-y0->qsYe | *R qsIng.ex-ext-2->qsIng.noentry.ex-ext-2 => in context is OK, but halves-shaped-separately is better
Ah May Pea Awe [break 1] ::  L qsMay.en-y5->qsMay.en-y5 | *R qsPea.half.ex-y5.ex-dips->qsPea.half.ex-y5 => in context is OK, but halves-shaped-separately is better
Ah May Tea Oy [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Ah May See Low [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee.ex-y0.ex-ext-2->qsSee.ex-y0.ex-ext-2 => in context is outright broken
Ah May See Eat [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
Ah May See At [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee.ex-y0->qsSee.ex-y0 => in context is outright broken
Ah May See Utter [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
Ah May See Out [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee.ex-y0.ex-con-1->qsSee.ex-y0.ex-con-1 => in context is outright broken
Ah May See Ooze [break 1] :: *L qsMay.en-y5->qsMay.en-y5.ex-y0 |  R qsSee.ex-y0.ex-y0-right->qsSee.ex-y0.ex-y0-right => in context is outright broken
Ah May May Gay [break 2] ::  L qsMay.en-y0.ex-y5->qsMay.en-y0.ex-y5 | *R qsGay->qsGay.en-y0.ex-y5 => in context is outright broken
Ah It Tea Oy [break 1] :: *L qsIt.en-y5.ex-y0->qsIt |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Ah It Thaw Ing [break 1] :: *L qsIt.en-y5.ex-y0->qsIt |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is outright broken
Ah Oy Tea Oy [break 1] :: *L qsOy.en-y5.ex-y0->qsOy |  R qsTea_qsOy->qsTea_qsOy => in context is OK, but halves-shaped-separately is better
Ah Oy Thaw Ing [break 1] :: *L qsOy.en-y5.ex-y0->qsOy |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
Awe Tea No Ah [break 0] ::  L qsAwe->qsAwe | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Awe Zoo Tea Oy [break 1] :: *L qsZoo.half.en-y0.ex-y0->qsZoo |  R qsTea_qsOy->qsTea_qsOy => in context is just better than halves-shaped-separately
Awe Zoo Thaw Ing [break 1] :: *L qsZoo.half.en-y0.ex-y0->qsZoo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is just better than halves-shaped-separately
Awe Ye No Ye [break 2] ::  L qsNo.alt.en-y0.ex-y0->qsNo.alt.en-y0.ex-y0 | *R qsYe->qsYe.en-y5.ex-y0 => in context is outright broken
Awe Ye No Owe [break 2] ::  L qsNo.alt.en-y0.ex-y0->qsNo.alt.en-y0.ex-y0 | *R qsOwe->qsOwe.en-y5 => in context is outright broken
Awe He No Ah [break 0] ::  L qsAwe->qsAwe | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Awe He It It [break 2] :: *L qsIt.en-y5.ex-y0->qsIt.ex-y5 |  R qsIt->qsIt => in context is OK, but halves-shaped-separately is better
Awe No Thaw Ing [break 1] :: *L qsNo.alt.en-y0.ex-y0->qsNo |  R qsThaw.ex-y0->qsThaw.ex-y0 => in context is OK, but halves-shaped-separately is better
Awe Excite Tea Jay [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsTea.half.ex-y5.ex-con-1->qsTea.half.ex-y5.ex-con-1 => in context is outright broken
Awe Excite Tea I [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter | *R qsTea.en-y8.ex-y0.ex-ext-1->qsTea.ex-y0.ex-ext-1 => in context is outright broken
Awe Excite Tea Oy [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsTea_qsOy->qsTea_qsOy => in context is outright broken
Awe Excite Day Eat [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsDay_qsEat->qsDay_qsEat => in context is outright broken
Awe Excite Gay Day [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsGay.ex-y0.ex-ext-1->qsGay.ex-y0.ex-ext-1 => in context is outright broken
Awe Excite Gay Cheer [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsGay.ex-y5.ex-ext-2->qsGay.ex-y5.ex-ext-2 => in context is outright broken
Awe Excite Gay Foot [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsGay.ex-y5.ex-ext-1->qsGay.ex-y5.ex-ext-1 => in context is outright broken
Awe Excite See Eat [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsSee_qsEat->qsSee_qsEat => in context is outright broken
Awe Excite See Utter [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsSee_qsUtter->qsSee_qsUtter => in context is outright broken
Awe Excite It Day [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join => in context is outright broken
Awe Excite It Utter [break 1] :: *L qsExcite.en-y0.noexit->qsExcite.en-y0.ex-y0.before-vertical.after-baseline-letter |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter => in context is outright broken
Ox Tea No Ah [break 0] ::  L qsOx->qsOx | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Ox He No Ah [break 0] ::  L qsOx->qsOx | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Oy Tea No Ah [break 0] ::  L qsOy->qsOy | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Oy He No Ah [break 0] ::  L qsOy->qsOy | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
Out Tea Day Utter [break 0] ::  L qsOut_qsTea->qsOut_qsTea | *R qsDay_qsUtter->qsDay_qsUtter.half.en-y0.ex-y5 => in context is outright broken
Out Tea Jai Day [break 1] ::  L qsJai->qsJai | *R qsDay->qsDay.half.en-y0.ex-y0 => in context is outright broken
Out Tea Jai Gay [break 1] ::  L qsJai->qsJai | *R qsGay->qsGay.en-y0.ex-y5 => in context is outright broken
Out Tea Jai Zoo [break 1] ::  L qsJai->qsJai | *R qsZoo->qsZoo.half.en-y0.ex-y0 => in context is outright broken
Out Tea Jai Excite [break 1] ::  L qsJai->qsJai | *R qsExcite->qsExcite.en-y0.noexit => in context is outright broken
Out Tea Roe No [break 0] ::  L qsOut_qsTea->qsOut_qsTea | *R qsRoe.en-y0.ex-y5->qsRoe.ex-y0 => these two are different but both are fine
Out Tea It Zoo [break 1] ::  L qsIt->qsIt | *R qsZoo->qsZoo.half.en-y0.ex-y0 => in context is outright broken
Out Tea It Excite [break 1] ::  L qsIt->qsIt | *R qsExcite->qsExcite.en-y0.noexit => in context is outright broken
Foot They Utter Jai [break 0] ::  L qsFoot->qsFoot | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1 => in context is just better than halves-shaped-separately
Ooze Tea No Ah [break 0] ::  L qsOoze->qsOoze | *R qsTea.half.ex-y5->qsTea.ex-y0 => in context is just better than halves-shaped-separately
Ooze He No Ah [break 0] ::  L qsOoze->qsOoze | *R qsHe.half.ex-y5->qsHe.ex-y0 => in context is just better than halves-shaped-separately
